,Unnamed: 0,max_population,max_passengers19,maxpax,wdpa_link,lat,lon,iata,icao,ISO_country,ISO_continent,year_pax_round2,pax_round2,consolidated_pax,h3,pop_30k,airport_30k,pax_h3_30k,pop_70k,airport_70k,pax_h3_70k,pop_150k,airport_150k,pax_h3_150k,GDP PPP,Gini,Surf,toursim_export_share,visiting_tourists,outbound_tourists,IHDI,is_country_island
60,60.0,71889.0,674406.0,681437.0,https://en.wikipedia.org/wiki/Greater_Moncton_Rom%C3%A9o_LeBlanc_International_Airport,46.116111111111,-64.678611111111,YQM,CYQM,CA,NA,2019,674406,674406.0,882b00788bfffff,173220.7326349222,1.0,674406.0,237412.47207454251,1.0,674406.0,653994.9592483484,3.0,1335508.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
61,61.0,67575.0,281100.0,282200.0,https://en.wikipedia.org/wiki/Saint_John_Airport,45.316111111111,-65.89,YSJ,CYSJ,CA,NA,2019,281100,281100.0,882b1cb717fffff,129011.3277979095,1.0,281100.0,157384.57665240244,1.0,281100.0,630712.0483432546,3.0,1382591.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
62,62.0,,,,https://en.wikipedia.org/wiki/Cartwright_Airport,53.6825,-57.041944444444,YRF,CYCA,CA,NA,2019,0,,881b84c633fffff,519.9618288877743,1.0,0.0,595.689801681139,1.0,0.0,1375.7692451718847,3.0,0.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
63,63.0,,,,https://en.wikipedia.org/wiki/Charlottetown_Airport_(Labrador),52.76583333,-56.1125,YHG,CCH4,CA,NA,,,,881b8080a9fffff,332.20732276931756,1.0,0.0,1460.3235278643306,5.0,0.0,2934.1133328443634,6.0,0.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
64,64.0,,,,https://en.wikipedia.org/wiki/Churchill_Falls_Airport,53.5625,-64.105833333333,ZUM,CZUM,CA,NA,,,,880e61269dfffff,608.4698603950061,1.0,0.0,601.1973467031111,1.0,0.0,621.1051938058234,1.0,0.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
65,65.0,,325316.0,354503.0,https://en.wikipedia.org/wiki/Deer_Lake_Regional_Airport,49.209166666667,-57.394444444444,YDF,CYDF,CA,NA,2019,325316,325316.0,881b985965fffff,7348.668787081879,1.0,325316.0,44599.79411732571,1.0,325316.0,88545.10101661002,2.0,333591.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
66,66.0,11054.0,158379.0,238190.0,https://en.wikipedia.org/wiki/Gander_International_Airport,48.9475,-54.56,YQX,CYQX,CA,NA,2019,158379,158379.0,881b9939edfffff,13491.25209536892,1.0,158379.0,39466.75362826063,1.0,158379.0,106587.92941710413,1.0,158379.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
67,67.0,,,,https://en.wikipedia.org/wiki/Hopedale_Airport,55.448888888889,-60.228055555556,YHO,CYHO,CA,NA,,,,880f492911fffff,394.061779051465,1.0,0.0,393.832019927093,1.0,0.0,1821.3079027220372,4.0,0.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
68,68.0,,,,https://en.wikipedia.org/wiki/Makkovik_Airport,55.077222222222,-59.187777777778,YMN,CYFT,CA,NA,,,,881bb58f03fffff,430.8134888569865,1.0,0.0,639.9440389542679,2.0,0.0,1261.895407644406,4.0,0.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
69,69.0,,,,https://en.wikipedia.org/wiki/Mary%27s_Harbour_Airport,52.302777777778,-55.847777777778,YMH,CYMH,CA,NA,,,,881b800495fffff,736.4476895301119,2.0,0.0,1548.5394047484178,5.0,0.0,9676.84076094789,7.0,0.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
70,70.0,,,,https://en.wikipedia.org/wiki/Nain_Airport,56.550555555556,-61.682222222222,YDP,CYDP,CA,NA,,,,880f4bd0ddfffff,294.53789748137507,1.0,0.0,312.5208020237456,1.0,0.0,1112.0388560390081,2.0,0.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
71,71.0,,,,https://en.wikipedia.org/wiki/Port_Hope_Simpson_Airport,52.528055555556,-56.285277777778,YHA,CCP4,CA,NA,,,,881b801005fffff,386.07871576629617,1.0,0.0,1542.384094181707,5.0,0.0,5778.815560993499,6.0,0.0,49171.51109,32.5,8965590.0,3.971326117,32430000.0,37845898.44,0.936,0
