,airline_link,airline_name,airline_iata,airline_icao
81,https://en.wikipedia.org/wiki/Thunder_Airlines,Thunder Airlines,- [1],THU[2]
82,https://en.wikipedia.org/wiki/North_Star_Air,North Star Air,—,BF[1]
83,https://en.wikipedia.org/wiki/Wasaya_Airways,Wasaya Airways,WP,WSG[1]
84,https://en.wikipedia.org/wiki/Nakina_Air_Service,Nakina Air Service,T2,KN[1]
85,https://en.wikipedia.org/wiki/Play_(airline),Play (airline),OG[1],FPY[2]
86,https://en.wikipedia.org/wiki/SkyLink_Express,SkyLink Express,—,SLQ[1]
87,https://en.wikipedia.org/wiki/Superior_Airways,Superior Airways,N/A,SR[1]
88,https://en.wikipedia.org/wiki/Aer_Lingus,Aer Lingus,EI,EIN
89,https://en.wikipedia.org/wiki/Avianca,Avianca,AV,AVA
90,https://en.wikipedia.org/wiki/Avianca_El_Salvador,Avianca El Salvador,TA,TAI
91,https://en.wikipedia.org/wiki/Biman_Bangladesh_Airlines,Biman Bangladesh Airlines,BG,BBC
92,https://en.wikipedia.org/wiki/Caribbean_Airlines,Caribbean Airlines,BW,BWA
93,https://en.wikipedia.org/wiki/China_Southern_Airlines,China Southern Airlines,CZ,CSN
94,https://en.wikipedia.org/wiki/Copa_Airlines,Copa Airlines,CM,CMP
95,https://en.wikipedia.org/wiki/Egyptair,Egyptair,MS,MSR
96,https://en.wikipedia.org/wiki/Emirates_(airline),Emirates (airline),EK,UAE
97,https://en.wikipedia.org/wiki/Ethiopian_Airlines,Ethiopian Airlines,ET,ETH
98,https://en.wikipedia.org/wiki/Etihad_Airways,Etihad Airways,EY,ETD
99,https://en.wikipedia.org/wiki/LOT_Polish_Airlines,LOT Polish Airlines,LO,LOT
100,https://en.wikipedia.org/wiki/Neos_(airline),Neos (airline),NO[1],NOS[2]
101,https://en.wikipedia.org/wiki/OWG,OWG,N5,NRL
102,https://en.wikipedia.org/wiki/Pakistan_International_Airlines,Pakistan International Airlines,PK,PIA
103,https://en.wikipedia.org/wiki/Royal_Jordanian,Royal Jordanian,RJ,RJA
104,https://en.wikipedia.org/wiki/Scandinavian_Airlines,Scandinavian Airlines,SK,SAS
105,https://en.wikipedia.org/wiki/TAP_Air_Portugal,TAP Air Portugal,TP,TAP
106,https://en.wikipedia.org/wiki/Ukraine_International_Airlines,Ukraine International Airlines,PS,AUI
107,https://en.wikipedia.org/wiki/Air_Liaison,Air Liaison,DU,LSJ[1]
108,https://en.wikipedia.org/wiki/Castle_Aviation,Castle Aviation,CSJA,CSJ
109,https://en.wikipedia.org/wiki/DHL_Aviation,DHL Aviation,Various,Various
110,https://en.wikipedia.org/wiki/FedEx_Express,FedEx Express,FX,FDX
111,https://en.wikipedia.org/wiki/Morningstar_Air_Express,Morningstar Air Express,—,MAL[1]
112,https://en.wikipedia.org/wiki/Cargojet,Cargojet,W8,CJT[1]
113,https://en.wikipedia.org/wiki/UPS_Airlines,UPS Airlines,5X,UPS
114,https://en.wikipedia.org/wiki/Air_Alg%C3%A9rie,Air Algérie,AH[1],DAH
115,https://en.wikipedia.org/wiki/Austrian_Airlines,Austrian Airlines,OS,AUA
116,https://en.wikipedia.org/wiki/Corsair_International,Corsair International,SS,CRL
117,https://en.wikipedia.org/wiki/Pivot_Airlines,Pivot Airlines,—,GGN[1]
118,https://en.wikipedia.org/wiki/Qatar_Airways,Qatar Airways,QR,QTR
119,https://en.wikipedia.org/wiki/Royal_Air_Maroc,Royal Air Maroc,AT,RAM
120,https://en.wikipedia.org/wiki/Swiss_International_Air_Lines,Swiss International Air Lines,LX,SWR
121,https://en.wikipedia.org/wiki/Tunisair,Tunisair,TU,TAR
122,https://en.wikipedia.org/wiki/Glencore,Glencore,,
123,https://en.wikipedia.org/wiki/Hydro-Quebec,Hydro-Québec,,
124,https://en.wikipedia.org/wiki/Transwest_Air,Transwest Air,4T[1],-
125,https://en.wikipedia.org/wiki/Air_Greenland,Air Greenland,GL,GRL
126,https://en.wikipedia.org/wiki/Norlandair,Norlandair,—,FNA
127,https://en.wikipedia.org/wiki/Aerom%C3%A9xico_Connect,Aeroméxico Connect,5D,SLI
128,https://en.wikipedia.org/wiki/Magnicharters,Magnicharters,UJ,GMT
129,https://en.wikipedia.org/wiki/TAR_Aerolineas,TAR Aerolíneas,YQ,LCT
130,https://en.wikipedia.org/wiki/Volaris,Volaris,Y4,VOI
131,https://en.wikipedia.org/wiki/Viva_Aerobus,Viva Aerobus,VB,VIV
132,https://en.wikipedia.org/wiki/Calafia_Airlines,Calafia Airlines,A7,CFV
133,https://en.wikipedia.org/wiki/VivaAerob%C3%BAs,Viva Aerobus,VB,VIV
134,https://en.wikipedia.org/wiki/A%C3%A9reo_Servicio_Guerrero,Aéreo Servicio Guerrero,—,GUE
135,https://en.wikipedia.org/wiki/TAR_Aerol%C3%ADneas,TAR Aerolíneas,YQ,LCT
